Algorithm,swapRate,ReverseSortedRatio,ExecutionTime
H,0.000177,0.999648,67
M,0.000177,0.999648,34
Q,0.000177,0.999648,210
R,0.000177,0.999648,26
H,0.000178,0.999646,60
M,0.000178,0.999646,26
Q,0.000178,0.999646,168
R,0.000178,0.999646,35
H,0.000179,0.999644,59
M,0.000179,0.999644,22
Q,0.000179,0.999644,290
R,0.000179,0.999644,32
H,0.000180,0.999642,62
M,0.000180,0.999642,22
Q,0.000180,0.999642,164
R,0.000180,0.999642,43
H,0.000181,0.999640,66
M,0.000181,0.999640,28
Q,0.000181,0.999640,185
R,0.000181,0.999640,31
H,0.000182,0.999638,67
M,0.000182,0.999638,30
Q,0.000182,0.999638,231
R,0.000182,0.999638,38
H,0.000183,0.999636,59
M,0.000183,0.999636,22
Q,0.000183,0.999636,246
R,0.000183,0.999636,34
H,0.000184,0.999635,68
M,0.000184,0.999635,27
Q,0.000184,0.999635,214
R,0.000184,0.999635,37
H,0.000185,0.999632,56
M,0.000185,0.999632,21
Q,0.000185,0.999632,226
R,0.000185,0.999632,50
H,0.000186,0.999630,76
M,0.000186,0.999630,51
Q,0.000186,0.999630,179
R,0.000186,0.999630,26
H,0.000187,0.999628,65
M,0.000187,0.999628,44
Q,0.000187,0.999628,251
R,0.000187,0.999628,35
H,0.000188,0.999626,88
M,0.000188,0.999626,28
Q,0.000188,0.999626,272
R,0.000188,0.999626,38
H,0.000189,0.999624,63
M,0.000189,0.999624,21
Q,0.000189,0.999624,277
R,0.000189,0.999624,32
H,0.000190,0.999622,67
M,0.000190,0.999622,26
Q,0.000190,0.999622,185
R,0.000190,0.999622,34
H,0.000191,0.999620,71
M,0.000191,0.999620,25
Q,0.000191,0.999620,305
R,0.000191,0.999620,40
H,0.000192,0.999618,71
M,0.000192,0.999618,29
Q,0.000192,0.999618,198
R,0.000192,0.999618,27
H,0.000193,0.999616,75
M,0.000193,0.999616,34
Q,0.000193,0.999616,157
R,0.000193,0.999616,39
H,0.000194,0.999614,72
M,0.000194,0.999614,21
Q,0.000194,0.999614,215
R,0.000194,0.999614,30
